3月17日,,,
equivalent,等同的，等效的，相等的,,
disaster,灾难，灾害；祸患，灾难性事物；,,
objective,目的，目标；,,
indeed,确实，的确；实际上；真正地；,,
semester,学期，半学年,,
battle,战役，战争；争论，斗争；竞赛，较量；,,
requirement,要求，必要条件；必需品，需要（要求）的事物,,
arrangement,安排，筹备；商定，约定；整理，排列，,,
psychological,心理的，精神的；心理学的，关于心理学的；,,
code,密码，代码；行为准则，法规,,
vehicle,交通工具，车辆；工具，手段,,
flash,闪光，闪亮；用光发出信号,,
challenging,富于挑战性的，艰巨的，挑衅的,,
delivery,递送，投递；分娩，发言方式,,
ownership,所有权，物主身份，产权,,
shuttle,航天飞机，穿梭航班，梭,,
necessarily,必定，必然；必要地,,
applicant,申请人,,
lecture,讲座，讲课，演讲；训斥，告诫,,
,,,
shelter,居所，住处；庇护，避难所，收容所,,
property,?所有物，财产；地产，特性，性质,,
evolution,进化（论）；演变，发展；,,
halfway,在中间，在中途；部分达成,,
conference,（大型、正式的）会议，研讨会；,,
fantasy,幻想，想象；想象产物，,,
female,女性的，妇女的；女性特有的；,,
estate,财产，遗产；大片私有土地，庄园；住宅区，工业区,,
urge,敦促，催促，力劝；竭力主张，,,
romantic,浪漫的，有情调的，不切实际的,,
slip,滑倒，滑落，溜走，退步，陷入,,
insurance,保险；保险费；保险业；保险赔偿金，预防措施,,
layer,层；层次，等级；摆放者，铺设者，,,
fee,费用，酬金；会费，入场费；封地，,,
broaden,增长（经验、知识等）；变宽，变阔；拓展，扩大,,
deadline,最后期限，截止日期；,,
resource,资源，物力，资料，机敏,,
victim,受害者，罹难者；祭品,,
function,功能，职责；宴会，典礼；函数，应变量；,,
request, 要求，请求；要求的事，点播的歌曲；,,
